Thread Count,"Shared Conn, shared cache: no, WAL: no","Shared Conn, shared cache: yes, WAL: no","Shared Conn, shared cache: no, WAL: yes","Shared Conn, shared cache: yes, WAL: yes","Multi Conn, shared cache: no, WAL: no","Multi Conn, shared cache: yes, WAL: no","Multi Conn, shared cache: no, WAL: yes","Multi Conn, shared cache: yes, WAL: yes"
1,160.7,158.0,719.3,719.7,160.2,159.8,717.4,718.8
2,202.4,203.1,949.6,941.2,157.9,158.8,720.1,724.5
3,203.4,205.1,913.2,912.4,156.4,157.0,717.5,724.0
4,204.8,201.9,887.3,882.0,158.6,157.2,725.5,722.1
5,202.7,201.7,872.5,872.4,156.0,157.9,724.6,721.1
6,205.2,202.9,862.3,856.5,155.4,158.0,716.5,719.9
7,204.6,204.4,851.9,850.5,157.0,155.0,704.0,707.9
8,203.2,203.2,848.3,846.4,151.1,157.4,699.0,719.4
10,203.5,204.1,843.8,842.1,155.0,155.4,714.4,715.3
12,204.5,205.5,840.7,846.7,153.8,157.0,709.8,710.8
14,203.9,204.6,839.6,837.3,154.2,157.1,720.8,720.9
16,205.6,203.5,842.3,839.6,154.6,158.9,709.2,718.9
18,204.8,204.1,841.9,839.2,153.2,156.0,702.7,720.2
20,204.7,204.8,837.9,837.3,150.9,156.9,705.3,719.9
