Thread Count,"Shared Conn [SELECT], shared cache: no, WAL: no","Shared Conn [INSERT], shared cache: no, WAL: no","Shared Conn [SELECT], shared cache: yes, WAL: no","Shared Conn [INSERT], shared cache: yes, WAL: no","Shared Conn [SELECT], shared cache: no, WAL: yes","Shared Conn [INSERT], shared cache: no, WAL: yes","Shared Conn [SELECT], shared cache: yes, WAL: yes","Shared Conn [INSERT], shared cache: yes, WAL: yes","Multi Conn [SELECT], shared cache: no, WAL: no","Multi Conn [INSERT], shared cache: no, WAL: no","Multi Conn [SELECT], shared cache: yes, WAL: no","Multi Conn [INSERT], shared cache: yes, WAL: no","Multi Conn [SELECT], shared cache: no, WAL: yes","Multi Conn [INSERT], shared cache: no, WAL: yes","Multi Conn [SELECT], shared cache: yes, WAL: yes","Multi Conn [INSERT], shared cache: yes, WAL: yes"
1,850.1,162.5,926.2,163.0,3873.3,822.6,3157.4,836.1,17.3,159.1,100.1,158.2,168609.7,952.6,6576.6,662.2
2,344.7,196.9,392.3,196.5,48328.1,558.4,42851.6,571.6,56.9,157.6,112.2,157.6,243418.2,937.4,6858.3,653.7
3,109.1,197.2,150.8,197.6,52536.7,584.2,36194.6,638.5,47.5,157.1,215.1,157.1,295035.3,904.9,9492.6,652.8
4,106.4,198.9,123.1,200.0,60367.0,567.9,38756.8,631.0,84.9,155.7,171.0,157.2,303690.8,900.8,9952.0,652.2
5,207.4,197.9,111.1,197.7,60368.0,572.3,38628.2,634.8,108.7,154.2,251.9,154.1,300281.3,874.5,12718.3,643.0
6,311.8,199.8,171.5,200.2,63814.0,556.0,40851.6,624.2,79.9,154.7,212.3,156.9,302894.7,854.4,13518.2,651.1
7,464.3,199.0,186.2,198.6,65880.2,544.0,41483.0,615.8,115.7,153.2,239.5,155.2,301211.9,831.0,16304.7,634.7
8,356.4,200.4,374.0,197.8,66904.8,537.8,43068.9,604.6,101.2,154.6,225.8,155.4,293905.9,828.9,18070.7,632.3
10,638.6,199.5,593.8,199.7,68810.6,516.4,42757.1,594.9,147.9,150.5,258.3,156.5,287662.6,800.2,23046.3,612.2
12,823.1,200.8,700.0,200.7,66931.6,509.2,43566.5,572.9,143.3,150.7,211.6,155.3,278090.7,780.3,28379.0,594.3
14,2040.4,199.4,1032.4,201.0,67580.2,502.2,42476.6,563.3,153.4,151.6,267.1,156.0,263731.4,753.3,34486.4,577.8
16,2014.1,200.3,1721.8,201.4,66429.7,494.2,43020.2,552.9,162.7,146.9,281.3,155.0,258614.7,737.4,39254.5,559.2
18,2470.6,202.6,2268.3,200.9,66398.4,487.8,41882.4,544.0,181.3,148.6,219.7,155.9,246241.0,698.6,34016.0,588.5
20,3955.5,201.3,2673.3,201.0,64523.9,484.4,41349.6,541.2,212.6,150.1,339.2,154.5,244406.0,701.2,51738.7,525.6
